occurrence,report,bibliography_key,catalog_ids
1,report-1,besicovitch,besicovitch
2,report-1,mordell,mordell
3,report-1,siegel,siegel
4,report-1,kneser,kneser
5,report-1,fateman72,fateman72
6,report-1,caviness76,caviness76
7,report-1,zippel77,zippelthesis;zippel1977
8,report-1,lll,lll
9,report-1,bfht,bfht
10,report-1,zippel85,zippel85
11,report-1,landauMiller,landauMiller
12,report-1,landau92,landau92
13,report-1,landauNote,landauNote
14,report-1,horng90,horng90
15,report-1,horngThesis,horngThesis
16,report-1,bloemer91,bloemer91
17,report-1,bloemer92,bloemer92
18,report-1,bloemer93,bloemer93
19,report-1,bloemer00,bloemer00
20,report-1,bloemer98,bloemer98
21,report-1,horng99,horng99
22,report-1,cotner,cotner
23,report-1,landau94,landau94
24,report-1,landau98,landau98
25,report-1,jeffrey,jeffrey
26,report-1,lenstra06,lenstra06
27,report-1,perucca,perucca
28,report-1,ramanujan,ramanujan
29,report-1,berndtIV,berndtIV
30,report-1,berndtV,berndtV
31,report-1,berndt97,berndt97
32,report-1,berndt98,berndt98
33,report-1,shanks,shanks
34,report-1,spohn,spohn
35,report-1,bumby,bumby
36,report-1,honsbeek99,honsbeek99
37,report-1,honsbeek05,honsbeek05
38,report-1,sury,sury
39,report-1,osler,osler
40,report-1,witula,witula
41,report-1,shevelev,shevelev
42,report-1,barbero,barbero
43,report-1,krepkii,krepkii
44,report-1,antipov,antipov
45,report-1,dokmeci,dokmeci
46,report-1,gkioulekas,gkioulekas
47,report-1,campbell,campbell
48,report-1,girstmair,girstmair
49,report-1,osipov21,osipov21
50,report-1,cavallo,cavallo
51,report-1,tonien,tonien
52,report-1,osipov26,osipov26
53,report-1,rit,rit
54,report-1,gaillard,gaillard
55,report-1,allender,allender
56,report-1,zippelbook,zippelbook
57,report-1,geddes,geddes
58,report-1,gathen,gathen
59,report-1,davenport,davenport
60,report-1,cohen,cohen
61,report-1,cox,cox
62,report-1,newman,newman
63,report-1,euclid,euclid
64,report-1,piagm,piagm
65,report-1,herschfeld,herschfeld
66,report-1,borwein,borwein
67,report-1,elia,elia
68,report-1,mitra,mitra
69,report-1,rahal,rahal
70,report-1,infiniteblogs,infiniteblogs
71,report-1,sympydocs,sympy
72,report-1,sympysrc,sympysrc
73,report-1,sympyissue,sympyissues
74,report-1,raddenestsrc,maxima
75,report-1,maximamanual,maximamanual
76,report-1,maximathread,maximathread
77,report-1,wolframroot,wolframroot
78,report-1,wolframradical,wolframradicals
79,report-1,wolframrd,wolframresource
80,report-1,wolframcommunity,wolframcommunity
81,report-1,maplerad,maple
82,report-1,maplesimp,maple
83,report-1,sageaa,sage
84,report-1,sagesymbolic,sage
85,report-1,pari,pari
86,report-1,magma,magma
87,report-1,fricas,fricas
88,report-1,honda,honda
89,report-1,wiki,wikipedia
90,report-1,mathworld,mathworld
91,report-1,brown,brownmath
92,report-1,mo,mo
93,report-1,mse,mse
94,report-2,cavinessfateman,caviness76
95,report-2,zippelthesis,zippelthesis
96,report-2,zippel1977,zippel1977
97,report-2,bfht,bfht
98,report-2,zippel,zippel85
99,report-2,landaumiller,landauMiller
100,report-2,landau,landau92
101,report-2,landaunote,landauNote
102,report-2,landausurvey,landau94
103,report-2,horng1990,horng90
104,report-2,horng1999,horng99
105,report-2,cotner,cotner
106,report-2,blomer1991,bloemer91
107,report-2,blomer1992,bloemer92
108,report-2,blomerthesis,bloemer93
109,report-2,blomer2000,bloemer00
110,report-2,jeffreyrich,jeffrey
111,report-2,honsbeek1999,honsbeek99
112,report-2,honsbeek2005,honsbeek05
113,report-2,besicovitch,besicovitch
114,report-2,mordell,mordell
115,report-2,siegel,siegel
116,report-2,kneser,kneser
117,report-2,lll,lll
118,report-2,landaufactor,landaufactor
119,report-2,kluners,kluners
120,report-2,cohen,cohen
121,report-2,cox,cox
122,report-2,zippelbook,zippelbook
123,report-2,geddes,geddes
124,report-2,vzg,gathen
125,report-2,davenport,davenport
126,report-2,newman,newman
127,report-2,fatemanthesis,fateman72
128,report-2,ramanujan,ramanujan
129,report-2,berndtII,berndtII
130,report-2,berndtIV,berndtIV
131,report-2,berndtV,berndtV
132,report-2,berndtchan1997,berndt97
133,report-2,berndtchan1998,berndt98
134,report-2,shanks,shanks
135,report-2,spohn,spohn
136,report-2,bumby,bumby
137,report-2,elia,elia
138,report-2,osler,osler
139,report-2,witula,witula
140,report-2,barbero,barbero
141,report-2,sury,sury
142,report-2,krepkii,krepkii
143,report-2,antipov,antipov
144,report-2,gkioulekas,gkioulekas
145,report-2,dokmeci,dokmeci
146,report-2,rahal,rahal
147,report-2,girstmair,girstmair
148,report-2,osipovkytmanov,osipov21
149,report-2,cavallo,cavallo
150,report-2,tonien,tonien
151,report-2,osipov2026,osipov26
152,report-2,landau1998,landau98
153,report-2,blomerzero,bloemer98
154,report-2,rit,rit
155,report-2,gaillard,gaillard
156,report-2,allender,allender
157,report-2,exactgeometry,exactgeometry
158,report-2,herschfeld,herschfeld
159,report-2,borweindebarra,borwein
160,report-2,campbell,campbell
161,report-2,mitra,mitra
162,report-2,borweinagm,piagm
163,report-2,polya,polya
164,report-2,guin,guin
165,report-2,sympydocs,sympy
166,report-2,sympysource,sympysrc
167,report-2,sympytests,sympysrc
168,report-2,maximaraddenest,maxima
169,report-2,maximamanual,maximamanual
170,report-2,maximathread,maximathread
171,report-2,wolframroot,wolframroot
172,report-2,wolframtoradicals,wolframradicals
173,report-2,wolframresource,wolframresource
174,report-2,wolframcommunity,wolframcommunity
175,report-2,mapleradnormal,maple
176,report-2,mapleradical,maple
177,report-2,sageqqbar,sage
178,report-2,sageexpression,sage
179,report-2,pari,pari
180,report-2,honda,honda
181,report-2,wikipedia,wikipedia
182,report-2,mathworld,mathworld
183,report-2,brownmath,brownmath
184,report-2,mse4680,mse
185,report-2,mse16331,mse
186,report-2,mse871639,mse
187,report-2,mo319874,mo
188,report-2,mo410388,mo
189,report-2,mo344478,mo
190,report-2,sympyissues,sympyissues
191,report-2,oeis,oeis
192,report-2,tiwari,tiwari
193,report-3,fateman,fateman72
194,report-3,caviness,caviness76
195,report-3,zippel77,zippelthesis;zippel1977
196,report-3,bfht,bfht
197,report-3,zippel85,zippel85
198,report-3,landaumiller,landauMiller
199,report-3,landau,landau92
200,report-3,landauzippel,landauNote
201,report-3,landau94,landau94
202,report-3,landauviews,landau98
203,report-3,hornghuang,horng90
204,report-3,horngthesis,horngThesis
205,report-3,cotner,cotner
206,report-3,blomer91,bloemer91
207,report-3,blomer92,bloemer92
208,report-3,blomerthesis,bloemer93
209,report-3,blomer2000,bloemer00
210,report-3,blomer98,bloemer98
211,report-3,jeffrey,jeffrey
212,report-3,besicovitch,besicovitch
213,report-3,mordell,mordell
214,report-3,siegel,siegel
215,report-3,kneser,kneser
216,report-3,perucca,perucca
217,report-3,lll,lll
218,report-3,rit,rit
219,report-3,gaillard,gaillard
220,report-3,allender,allender
221,report-3,ramanujan,ramanujan
222,report-3,berndt,berndtII;berndtIV;berndtV
223,report-3,berndt97,berndt97
224,report-3,berndt98,berndt98
225,report-3,shanks,shanks
226,report-3,spohn,spohn
227,report-3,bumby,bumby
228,report-3,sury,sury
229,report-3,osler,osler
230,report-3,oslercubic,oslercubic
231,report-3,witula,witula
232,report-3,barbero,barbero
233,report-3,krepkii,krepkii
234,report-3,antipov,antipov
235,report-3,honsbeek99,honsbeek99
236,report-3,honsbeek,honsbeek05
237,report-3,gkioulekas,gkioulekas
238,report-3,dokmeci,dokmeci
239,report-3,campbell,campbell
240,report-3,cavallo,cavallo
241,report-3,osipov97,osipov97
242,report-3,osipov21,osipov21
243,report-3,girstmair,girstmair
244,report-3,tonien,tonien
245,report-3,osipov26,osipov26
246,report-3,elia,elia
247,report-3,herschfeld,herschfeld
248,report-3,borweinradicals,borwein
249,report-3,gutin,gutin
250,report-3,mitra,mitra
251,report-3,piagm,piagm
252,report-3,polya,polya
253,report-3,zippelbook,zippelbook
254,report-3,geddes,geddes
255,report-3,gathen,gathen
256,report-3,davenport,davenport
257,report-3,cohen,cohen
258,report-3,cox,cox
259,report-3,sympy,sympy
260,report-3,sympysource,sympysrc
261,report-3,sympyissues,sympyissues
262,report-3,maxima,maxima
263,report-3,wolframroot,wolframroot
264,report-3,wolframradicals,wolframradicals
265,report-3,wolframresource,wolframresource
266,report-3,wolframcommunity,wolframcommunity
267,report-3,maple,maple
268,report-3,sage,sage
269,report-3,pari,pari
270,report-3,flint,flint
271,report-3,calcium,calcium
272,report-3,fricas,fricas
273,report-3,honda,honda
274,report-3,brownmath,brownmath
275,report-3,wikipedia,wikipedia
276,report-3,mathworld,mathworld
277,report-3,mse,mse
278,report-3,mo,mo
