record_id,asset_id,kind,version,status,error
herschfeld,pdf-university-mirror,pdf,university-mirror,failed,"RuntimeError: https://is.muni.cz/el/1431/jaro2015/M7400/um/2301294_147_251_4_41_15_08_2014_19_16.pdf: ValueError: Not a complete PDF: PDF header / EOF missing (possibly login, error, or truncated data)."
borwein,optional-publisher-candidate,pdf,cited-work,failed,RuntimeError: https://www.tandfonline.com/doi/pdf/10.1080/00029890.1991.11995783: RuntimeError: Could not retrieve https://www.tandfonline.com/doi/pdf/10.1080/00029890.1991.11995783: HTTP Error 403: Forbidden
campbell,pdf,pdf,arxiv-1511.06865v1,downloaded,
campbell,tex-source,source,arxiv-1511.06865v1,downloaded,
mitra,pdf,pdf,arxiv-2404.04051v1,downloaded,
mitra,tex-source,source,arxiv-2404.04051v1,downloaded,
gutin,pdf,pdf,arxiv-1907.02700v6,downloaded,
gutin,tex-source,source,arxiv-1907.02700v6,downloaded,
piagm,pdf-author-hosted-scan,pdf,author-hosted-scan,downloaded,
euclid,tex-pdf-bundle,github_bundle,fitzpatrick-repository-snapshot,downloaded,
euclid,published-2008-pdf,pdf,fitzpatrick-2008,downloaded,
sympy,resource-01,web,web-resources,downloaded,
sympysrc,resource-01,source_code,web-resources,downloaded,
sympysrc,resource-02,source_code,web-resources,downloaded,
sympysrc,resource-03,source_code,web-resources,downloaded,
sympysrc,resource-04,source_code,web-resources,downloaded,
sympyissues,resource-01,web,web-resources,downloaded,
sympyissues,resource-02,web,web-resources,downloaded,
maxima,resource-01,web,web-resources,downloaded,
maxima,resource-02,source_code,web-resources,downloaded,
maximamanual,resource-01,web,web-resources,downloaded,
maximamanual,resource-02,web,web-resources,downloaded,
maximathread,resource-01,web,web-resources,downloaded,
maximathread,resource-02,web,web-resources,downloaded,
maximathread,resource-03,web,web-resources,downloaded,
wolframroot,resource-01,web,web-resources,downloaded,
wolframradicals,resource-01,web,web-resources,downloaded,
wolframresource,resource-01,web,web-resources,failed,RuntimeError: https://resources.wolframcloud.com/FunctionRepository/resources/RadicalDenest: RuntimeError: Could not retrieve https://resources.wolframcloud.com/FunctionRepository/resources/RadicalDenest: HTTP Error 404: Not Found
wolframresource,resource-02,web,web-resources,failed,RuntimeError: https://resources.wolframcloud.com/FunctionRepository/resources/RadicalDenest/: RuntimeError: Could not retrieve https://resources.wolframcloud.com/FunctionRepository/resources/RadicalDenest/: HTTP Error 404: Not Found
wolframcommunity,resource-01,web,web-resources,failed,RuntimeError: https://community.wolfram.com/groups/-/m/t/980264: RuntimeError: Could not retrieve https://community.wolfram.com/groups/-/m/t/980264: HTTP Error 503: Service Unavailable
wolframcommunity,resource-02,web,web-resources,failed,RuntimeError: https://community.wolfram.com/groups/-/m/t/2120629: RuntimeError: Could not retrieve https://community.wolfram.com/groups/-/m/t/2120629: HTTP Error 503: Service Unavailable
maple,resource-01,web,web-resources,downloaded,
maple,resource-02,web,web-resources,downloaded,
sage,resource-01,web,web-resources,downloaded,
sage,resource-02,web,web-resources,downloaded,
sage,resource-03,web,web-resources,failed,RuntimeError: https://doc.sagemath.org/html/en/reference/qqbar/sage/rings/qqbar.html: RuntimeError: Could not retrieve https://doc.sagemath.org/html/en/reference/qqbar/sage/rings/qqbar.html: HTTP Error 404: Not Found
pari,resource-01,web,web-resources,downloaded,
pari,resource-02,web,web-resources,downloaded,
magma,resource-01,web,web-resources,downloaded,
magma,resource-02,pdf,web-resources,downloaded,
flint,resource-01,web,web-resources,downloaded,
calcium,resource-01,web,web-resources,downloaded,
fricas,resource-01,web,web-resources,downloaded,
fricas,resource-02,web,web-resources,downloaded,
honda,resource-01,web,web-resources,downloaded,
wikipedia,resource-01,web,web-resources,downloaded,
mathworld,resource-01,web,web-resources,downloaded,
brownmath,resource-01,web,web-resources,downloaded,
mse,resource-01,web,web-resources,failed,RuntimeError: https://math.stackexchange.com/questions/4680: RuntimeError: Could not retrieve https://math.stackexchange.com/questions/4680: HTTP Error 403: Forbidden
mse,resource-02,web,web-resources,failed,RuntimeError: https://math.stackexchange.com/questions/16331: RuntimeError: Could not retrieve https://math.stackexchange.com/questions/16331: HTTP Error 403: Forbidden
mse,resource-03,web,web-resources,failed,RuntimeError: https://math.stackexchange.com/questions/871639: RuntimeError: Could not retrieve https://math.stackexchange.com/questions/871639: HTTP Error 403: Forbidden
mo,resource-01,web,web-resources,downloaded,
mo,resource-02,web,web-resources,downloaded,
mo,resource-03,web,web-resources,downloaded,
mo,resource-04,web,web-resources,downloaded,
oeis,resource-01,web,web-resources,downloaded,
tiwari,resource-01,web,web-resources,downloaded,
infiniteblogs,resource-01,web,web-resources,failed,RuntimeError: https://www.cantorsparadise.com/ramanujans-nested-radical-problem-f14c3060e495: RuntimeError: Could not retrieve https://www.cantorsparadise.com/ramanujans-nested-radical-problem-f14c3060e495: HTTP Error 403: Forbidden
infiniteblogs,resource-02,web,web-resources,failed,RuntimeError: https://medium.com/@ArchieGSmith/calculus-of-infinite-nested-radicals-1ab3e1d26774: RuntimeError: Could not retrieve https://medium.com/@ArchieGSmith/calculus-of-infinite-nested-radicals-1ab3e1d26774: HTTP Error 403: Forbidden
infiniteblogs,resource-03,web,web-resources,failed,RuntimeError: https://math.stackexchange.com/questions/4049946/the-infinitely-nested-radicals-problem-and-ramanujans-wondrous-formula: RuntimeError: Could not retrieve https://math.stackexchange.com/questions/4049946/the-infinitely-nested-radicals-problem-and-ramanujans-wondrous-formula: HTTP Error 403: Forbidden
